passcode,passcode_for,program_id,is_instructor,is_deactivated,package_id,is_distributed
WZDTRF,supersite_vtext,21,0,0,40,0
WZPXRY,supersite_vtext,21,0,0,40,0
ZFTEVU,supersite_vtext,21,0,0,40,0
KUZTAE,supersite_vtext,21,0,0,40,0
NHPEFM,supersite_vtext,21,0,0,40,0
TAXNUS,supersite_vtext,21,0,0,40,0
TXNUSA,supersite_vtext,21,0,0,40,0
TXNUSA,supersite_vtext,20,0,0,35,0
XTFHUA,supersite_websam_vtext,21,0,0,41,0
XTFHUA,supersite,21,0,0,37,0
XTFHUA,supersite,21,0,0,38,0
SHKERD,supersite,46,1,0,176,0
